URL,MLB_ID,AFFILIATE_STATUS,TRACKING_ID,IMAGE_STATUS,PRICE_STATUS,BUTTON_STATUS,HTTP_STATUS
https://comparapreco.github.io/ofertas/celulares/celular-samsung-galaxy-a57-5g-256gb-8gb-ram-cor-gray-MLB67737386.html,MLB67737386,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/celular-samsung-galaxy-s25-ultra-5g-256gb-12gb-cam-quad-cor-titanium-gray-MLB45514086.html,MLB45514086,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/celular-samsung-galaxy-s25-ultra-5g-512gb-12gb-ram-camera-quadrupla-de-200-50-10-50-tela-grande-de-69-titanio-MLB38176139.html,MLB38176139,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/celular-samsung-galaxy-s25-5g-256gb-12gb-ram-camera-tripla-de-50-12-10-tela-grande-de-67-jetblack-MLB56327005.html,MLB56327005,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/celular-smartphone-realme-c73-256gb-8gb-ram-dual-sim-120hz-6000mah-violeta-MLB45513966.html,MLB45513966,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/controle-gamepad-gamesir-x5-lite-usb-c-android-iphone-15-16-mobile-hall-effect-turbo-leve-preto-MLB50567982.html,MLB50567982,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-celular-hall-effect-cor-branco-MLB36695087.html,MLB36695087,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-celular-hall-effect-cor-space-purple-MLB35655836.html,MLB35655836,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/controle-sem-fio-joystick-bluetooth-para-ps4-videogame-tv-samsung-pc-p4-ps-4-dual-shock-manete-pc-gamer-tv-smart-MLB39960346.html,MLB39960346,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/fone-de-ouvido-bluetooth-54-soundcore-p30i-da-anker-cancelamento-de-ruido-adaptativo-graves-poderosos-45h-de-MLB1040287792.html,MLB1040287792,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/fone-de-ouvido-sem-fio-bluetooth-f9-5-pares-som-imersivo-powerbank-moderno-bateria-longa-duracao-academia-MLB27174916.html,MLB27174916,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/galaxy-buds-core-preto-MLB58315694.html,MLB58315694,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/microfone-lapela-redondo-sem-fio-tipo-c-duplo-anti-ruido-p-android-e-iphone-15-16-17-com-caixinha-para-MLB66852007.html,MLB66852007,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/power-bank-20000mah-portatil-carga-rapida-leve-seus-cabos-embutidos-usb-c-e-o-display-pratico-carregamento-rapido-MLB50592250.html,MLB50592250,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/relogio-smartwatch-redmi-watch-5-lite-com-gps-caixa-black-preto-MLB24028629.html,MLB24028629,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/samsung-galaxy-a06-5g-128gb-cinza-MLB69626508.html,MLB69626508,OK,CORRECT,OK,OK,OK,200
https://comparapreco.github.io/ofertas/celulares/samsung-galaxy-a17-a175f-preto-67-4g-wi-nfc-android-1-preto-MLB65114795.html,MLB65114795,OK,CORRECT,OK,OK,OK,200
